run_id,run_name,model,hidden_dim,epochs,lr,layer_index,layer_type,normalization,aggregation,accuracy,macro_f1,weighted_f1,inference_time,peak_memory,max_allocated,max_reserved
25base-conv1_2026-06-17_12-28-35,25base-conv1,base,128,30,0.001,-1,conv1,False,mean,0.0475507384975029,0.0196268512259198,0.0215837679008192,0.0774929097931211,21.22998046875,21.22998046875,42.0
25base-conv2_2026-06-17_13-49-17,25base-conv2,base,128,30,0.001,0,conv2,False,mean,0.0379874614812453,0.0078454740468465,0.0091400109288673,0.0764391602715477,24.31103515625,24.31103515625,44.0
25base-1layer_2026-06-17_13-55-06,25base-1layer,base,128,30,0.001,1,1 layer,True,mean,0.0561576878121347,0.036852820102017,0.041341622932344,0.0817212482060616,59.97802734375,59.97802734375,80.0
25base-2layers_2026-06-17_13-58-41,25base-2layers,base,128,30,0.001,2,2 layers,True,mean,0.0788439060673679,0.0493076558154689,0.05830639167509,0.0799048103081683,73.43896484375,73.43896484375,96.0
25base-3layers_2026-06-17_14-00-53,25base-3layers,base,128,30,0.001,3,3 layers,True,mean,0.1878652640527043,0.1509931672222713,0.1679313974626271,0.0859747518707687,85.58740234375,85.58740234375,100.0
25base-4layers_2026-06-17_14-04-04,25base-4layers,base,128,30,0.001,4,4 layers,True,mean,0.6799489958559133,0.674711210958133,0.6726384592770306,0.0879105776082724,97.48583984375,97.48583984375,124.0
25base-5layers_2026-06-17_14-06-13,25base-5layers,base,128,30,0.001,5,5 layers,True,mean,0.5881946658165976,0.545258231403725,0.5575398613123451,0.0862169446113208,109.50927734375,109.50927734375,128.0
25base-full_2026-06-17_14-08-31,25base-full,base,128,30,0.001,6,full,True,mean,0.496068430559983,0.4784943681816884,0.4753071544107849,0.0940205998563518,121.09521484375,121.09521484375,152.0
25base-4layers-no-norm_2026-06-17_14-18-55,25base-4layers-no-norm,base,128,30,0.001,4,4 layers,False,mean,0.5205079162681968,0.4708725902358699,0.4861007629319128,0.0838959533798818,97.48583984375,97.48583984375,124.0
small-full_2026-06-17_17-45-05,small-full,small,128,30,0.001,12,full,True,mean,0.913505472319626,0.8928958576541696,0.9071324936095244,0.1165573459196214,394.08349609375,394.08349609375,470.0
small-10layers_2026-06-17_20-38-04,small-10layers,small,128,30,0.001,10,10 layers,True,mean,0.940973329082988,0.9286260209136666,0.9369539644694372,0.1151217908753703,340.01318359375,340.01318359375,410.0
small-8layers_2026-06-18_01-09-01,small-8layers,small,128,30,0.001,8,8 layers,True,mean,0.9205185421315482,0.8985376986083797,0.9132002059991368,0.1083061791257932,285.94287109375,285.94287109375,350.0
small-6layers_2026-06-18_10-19-39,small-6layers,small,128,30,0.001,6,6 layers,True,mean,0.2412602273934757,0.2060906400387864,0.2217319393281765,0.0981473134675373,231.87255859375,231.87255859375,290.0
small-4layers_2026-06-18_13-00-57,small-4layers,small,128,30,0.001,4,4 layers,True,mean,0.1072680905323557,0.0848045778153856,0.0911033355813738,0.0940826003827775,177.80224609375,177.80224609375,230.0
small-2layers_2026-06-18_15-35-05,small-2layers,small,128,30,0.001,2,2 layers,True,mean,0.0712464137711189,0.0692744255869886,0.0733635742598126,0.0849256706113616,123.73193359375,123.73193359375,170.0
small-conv2_2026-06-18_18-40-42,small-conv2,small,128,30,0.001,0,conv2,False,mean,0.0345340558920412,0.0026706383852909,0.0023056993816267,0.0791425495951747,57.10595703125,57.10595703125,72.0
small-conv1_2026-06-19_11-25-39,small-conv1,small,128,30,0.001,-1,conv1,False,mean,0.0285835724152587,0.0081037905683508,0.0083000869717156,0.0818212523901214,27.32470703125,27.32470703125,44.0
medium_mean-conv1_2026-06-19_13-52-34,medium_mean-conv1,medium,128,30,0.001,-1,conv1,False,mean,0.0265115290617362,0.0117577360804644,0.0127870706523515,0.0799855095955232,45.994140625,45.994140625,64.0
medium_mean-conv2_2026-06-19_16-04-55,medium_mean-conv2,medium,128,30,0.001,0,conv2,True,mean,0.0396344703007119,0.0062609317198194,0.0058219909834106,0.0802568840639044,81.84521484375,81.84521484375,94.0
medium_mean-4layers_2026-06-19_18-30-45,medium_mean-4layers,medium,128,30,0.001,4,4 layers,True,mean,0.1124747635745404,0.1154486681209087,0.1203174617359517,0.1018961447446296,285.49365234375,285.49365234375,318.0
medium_mean-8layers_2026-06-19_21-21-44,medium_mean-8layers,medium,128,30,0.001,8,8 layers,True,mean,0.2108171288917224,0.1946859229139971,0.2003964526249403,0.119825027595895,477.68115234375,477.68115234375,510.0
medium_mean-12layers_2026-06-20_00-40-37,medium_mean-12layers,medium,128,30,0.001,12,12 layers,True,mean,0.9367229837424292,0.9369850721912588,0.9363816745894836,0.1372975475387647,669.86865234375,669.86865234375,702.0
medium_mean-16layers_2026-06-20_04-26-54,medium_mean-16layers,medium,128,30,0.001,16,16 layers,True,mean,0.972266496652853,0.9727090367319512,0.9722692276790912,0.1581358698351929,862.05615234375,862.05615234375,894.0
medium_mean-20layers_2026-06-20_08-40-51,medium_mean-20layers,medium,128,30,0.001,20,20 layers,True,mean,0.9740197641058336,0.9744359307425268,0.9739774485760236,0.1749544968518118,1054.24365234375,1054.24365234375,1086.0
medium_mean-full_2026-06-20_13-22-53,medium_mean-full,medium,128,30,0.001,24,full,True,mean,0.9733822123047496,0.973810268911397,0.973259331056547,0.1957789104121426,1246.43115234375,1246.43115234375,1278.0
large_mean-conv1_2026-06-20_17-40-34,large_mean-conv1,large-v1,128,30,0.001,-1,conv1,True,mean,0.0315588141536499,0.0081278256217253,0.008614970339698,0.0781669503233085,54.8779296875,54.8779296875,84.0
large_mean-conv2_2026-06-20_19-32-53,large_mean-conv2,large-v1,128,30,0.001,0,conv2,True,mean,0.0462225055785782,0.0073033114954717,0.0064445445007344,0.077054237993434,111.57373046875,111.57373046875,130.0
large_mean-8layers_2026-06-20_22-40-17,large_mean-8layers,large-v1,128,30,0.001,8,8 layers,True,mean,0.098076718733397,0.0872368148322381,0.093597490608619,0.1317659953919549,735.55224609375,735.55224609375,798.0
large_mean-16layers_2026-06-21_02-59-42,large_mean-16layers,large-v1,128,30,0.001,16,16 layers,True,mean,0.7174582934863457,0.6994454441771333,0.701943747527468,0.1787281359313056,1351.84521484375,1351.84521484375,1434.0
large_mean-24layers_2026-06-21_08-30-21,large_mean-24layers,large-v1,128,30,0.001,24,24 layers,True,mean,0.9732759536712358,0.9735196742013572,0.9732607133131548,0.2264567756016428,1968.31396484375,1968.31396484375,2040.0
large_mean-full_2026-06-21_15-11-57,large_mean-full,large-v1,128,30,0.001,32,full,True,mean,0.9539368823716928,0.9305563206963784,0.9454743524184468,0.2754255407877887,2584.95849609375,2584.95849609375,2686.0
small_mean-7layers_2026-06-21_21-25-06,small_mean-7layers,small,128,30,0.001,7,7 layers,True,mean,0.6014769950058442,0.5776515816225709,0.5922462548233298,0.1035663253938158,258.90771484375,258.90771484375,328.0
small_mean-9layers_2026-06-22_11-32-39,small_mean-9layers,small,128,30,0.001,9,9 layers,True,mean,0.9403357772819042,0.9290157517434622,0.9368010765030136,0.1124375456556057,312.97802734375,312.97802734375,388.0
small_mean-11layers_2026-06-22_19-24-50,small_mean-11layers,small,128,30,0.001,11,11 layers,True,mean,0.9022420571671448,0.8785281887078297,0.8930679469832384,0.1149465505344172,367.04833984375,367.04833984375,450.0
medium_mean-10layers_2026-06-22_22-49-15,medium_mean-10layers,medium,128,30,0.001,10,10 layers,True,mean,0.4109552651152906,0.4063925257240337,0.4087550956660454,0.1286712676674748,573.89990234375,573.89990234375,636.0
medium_mean-11layers_2026-06-23_01-59-32,medium_mean-11layers,medium,128,30,0.001,11,11 layers,True,mean,0.6034427797258527,0.5872730761942485,0.5930296552365429,0.1342894060149168,622.22802734375,622.22802734375,682.0
medium_mean-13layers_2026-06-23_05-23-05,medium_mean-13layers,medium,128,30,0.001,13,13 layers,True,mean,0.9621719264690256,0.9632473242601112,0.9620823777388312,0.1431787768301243,717.91552734375,717.91552734375,754.0
medium_mean-14layers_2026-06-23_08-54-04,medium_mean-14layers,medium,128,30,0.001,14,14 layers,True,mean,0.9690256083306767,0.9699445152894418,0.9690936802752036,0.1460785645991563,766.08740234375,766.08740234375,828.0
largev1_mean-20layers_2026-06-24_21-52-33,largev1_mean-20layers,large-v1,128,30,0.001,20,20 layers,True,mean,0.8994262033790246,0.8908452549517678,0.8964876484560172,0.2032816649336988,1660.25537109375,1660.25537109375,1742.0
largev1_mean-21layers_2026-06-25_02-53-40,largev1_mean-21layers,large-v1,128,30,0.001,21,21 layers,True,mean,0.92524705132292,0.9064213292934992,0.9183543756066714,0.207674080816408,1737.13818359375,1737.13818359375,1804.0
largev1_mean-22layers_2026-06-25_08-03-26,largev1_mean-22layers,large-v1,128,30,0.001,22,22 layers,True,mean,0.9557432791414302,0.9524723783646322,0.9551464584666944,0.2151171868589396,1814.19677734375,1814.19677734375,1906.0
largev1_mean-23layers_2026-06-25_13-22-58,largev1_mean-23layers,large-v1,128,30,0.001,23,23 layers,True,mean,0.9659972372755288,0.9666413082669923,0.9660313356814162,0.2195575323188677,1891.43115234375,1891.43115234375,1978.0
largev1_mean-25layers_2026-06-25_18-59-11,largev1_mean-25layers,large-v1,128,30,0.001,25,25 layers,True,mean,0.9742854106896184,0.9744554449884912,0.9742933788928636,0.2330120541310558,2045.37255859375,2045.37255859375,2142.0
largev1_mean-26layers_2026-06-26_00-43-29,largev1_mean-26layers,large-v1,128,30,0.001,26,26 layers,True,mean,0.968388056529593,0.9654030794205788,0.9679248340667111,0.2387524358695373,2122.60693359375,2122.60693359375,2214.0
largev1_mean-27layers_2026-06-26_06-36-30,largev1_mean-27layers,large-v1,128,30,0.001,27,27 layers,True,mean,0.9629688662203804,0.9554834853453656,0.9611332802406658,0.2431558228097856,2199.48974609375,2199.48974609375,2276.0
largev1_mean-28layers_2026-06-26_12-38-35,largev1_mean-28layers,large-v1,128,30,0.001,28,28 layers,True,mean,0.9593560726809052,0.9480619795013244,0.9560947107246988,0.2516214985478048,2276.54833984375,2276.54833984375,2378.0
largev1_mean-29layers_2026-06-26_18-48-59,largev1_mean-29layers,large-v1,128,30,0.001,29,29 layers,True,mean,0.964137711189034,0.9579100322575396,0.962685393706239,0.2557779291334252,2353.78271484375,2353.78271484375,2450.0
largev1_mean-30layers_2026-06-27_01-07-18,largev1_mean-30layers,large-v1,128,30,0.001,30,30 layers,True,mean,0.9700350653490596,0.9683901679137804,0.9698322899650328,0.2619915436177204,2430.66552734375,2430.66552734375,2512.0
largev1_mean-31layers_2026-06-27_07-34-16,largev1_mean-31layers,large-v1,128,30,0.001,31,31 layers,True,mean,0.95292742535331,0.9295262122376724,0.944410268733741,0.2683769397980844,2507.72412109375,2507.72412109375,2614.0
medium_mean-15layers_2026-06-27_21-29-52,medium_mean-15layers,medium,128,30,0.001,15,15 layers,True,mean,0.972532143236638,0.9728090479738666,0.9725534456997792,0.1506248364147419,814.41552734375,814.41552734375,874.0
medium_mean-17layers_2026-06-28_01-19-10,medium_mean-17layers,medium,128,30,0.001,17,17 layers,True,mean,0.9741260227393476,0.9747493329414784,0.9741384684288686,0.1616281882316495,910.10302734375,910.10302734375,946.0
medium_mean-18layers_2026-06-28_05-15-26,medium_mean-18layers,medium,128,30,0.001,18,18 layers,True,mean,0.9737541175220488,0.9742064805943436,0.9737541435240208,0.1660118977927292,958.27490234375,958.27490234375,1020.0
medium_mean-19layers_2026-06-28_09-18-47,medium_mean-19layers,medium,128,30,0.001,19,19 layers,True,mean,0.9740728934225906,0.9747505488473936,0.9740575822254918,0.1706244204193353,1006.60302734375,1006.60302734375,1066.0
medium_mean-21layers_2026-06-28_17-46-13,medium_mean-21layers,medium,128,30,0.001,21,21 layers,True,mean,0.9741791520561046,0.9747308078426568,0.9741624982276144,0.1817396704883625,1102.29052734375,1102.29052734375,1138.0
medium_mean-22layers_2026-06-28_22-09-44,medium_mean-22layers,medium,128,30,0.001,22,22 layers,True,mean,0.9648283923068748,0.9602048438578024,0.9639982994140556,0.1857766307269533,1150.46240234375,1150.46240234375,1212.0
medium_mean-23layers_2026-06-29_02-40-45,medium_mean-23layers,medium,128,30,0.001,23,23 layers,True,mean,0.9709913930506854,0.9703641225913142,0.9708730477561764,0.1898388274634878,1198.79052734375,1198.79052734375,1258.0
large_mean-full_2026-06-29_19-15-11,large_mean-full,large-v1,128,30,0.001,32,32 layers,True,mean,0.9539368823716927,0.9305563206963784,0.9454743524184469,,,,
large_mean-16layers_2026-06-29_20-13-50,large_mean-16layers,large-v1,128,30,0.001,16,16 layers,True,mean,0.7174582934863457,0.6994454441771333,0.701943747527468,,,,
